Category,Name,vp_name,ep_name,Directed,N,E,Community Size-SBM,Community Size-SBM_DC,Community Size-Louvain,Community Size-Infomap,Community Size-Spectral,Community Size-DNGR,Community Eligible Size-SBM,Community Eligible Size-SBM_DC,Community Eligible Size-Louvain,Community Eligible Size-Infomap,Community Eligible Size-Spectral,Community Eligible Size-DNGR,Description Length-SBM,Description Length-SBM_DC,Description Length-Louvain,Description Length-Infomap,Description Length-Spectral,Description Length-DNGR,Modularity-SBM,Modularity-SBM_DC,Modularity-Louvain,Modularity-Infomap,Modularity-Spectral,Modularity-DNGR,Interaction Fraction-SBM,Interaction Fraction-SBM_DC,Interaction Fraction-Louvain,Interaction Fraction-Infomap,Interaction Fraction-Spectral,Interaction Fraction-DNGR,Interaction Fraction All-SBM,Interaction Fraction All-SBM_DC,Interaction Fraction All-Louvain,Interaction Fraction All-Infomap,Interaction Fraction All-Spectral,Interaction Fraction All-DNGR
Biological,interactome_vidal,title,,FALSE,2783,6007,14,12,29,214,12,10,13,12,26,172,10,10,33975.69715,39110.27195,40322.72774,49897.17475,39636.09516,40663.93326,0.007419941,0.007246872,0.640022105,0.57259856,0.510513052,0.491842088,"{'Assortative': 0.7307692307692307, 'Core-Periphery': 0.21794871794871795, 'Disassortative': 0.05128205128205128}","{'Assortative': 0.8181818181818182, 'Core-Periphery': 0.16666666666666666, 'Disassortative': 0.015151515151515152}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.7307692307692307, 'U-C1': 0.21794871794871795, 'U-D1': 0.05128205128205128}","{'U-A1': 0.8181818181818182, 'U-C1': 0.16666666666666666, 'U-D1': 0.015151515151515152}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
Biological,interactome_yeast,title,,FALSE,1458,1948,6,2,32,160,8,10,6,2,32,126,8,10,10965.88887,13172.3826,14213.15979,18098.2277,13319.19256,13999.72148,0.026095975,0.002616278,0.818051553,0.748949457,0.392122021,0.633061103,"{'Assortative': 0.6666666666666666, 'Core-Periphery': 0.26666666666666666, 'Disassortative': 0.06666666666666667}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.6666666666666666, 'U-C1': 0.26666666666666666, 'U-D1': 0.06666666666666667}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
Biological,kegg_metabolicaae,title,,FALSE,880,2368,14,17,16,103,2,10,9,12,15,42,2,10,9650.579654,11325.25322,11832.55869,15563.56359,11506.71978,11932.18302,0.000517773,0.004608359,0.520629443,0.457003317,0.072022602,0.418587678,"{'Assortative': 0.6111111111111112, 'Core-Periphery': 0.3611111111111111, 'Disassortative': 0.027777777777777776}","{'Assortative': 0.5454545454545454, 'Core-Periphery': 0.3333333333333333, 'Disassortative': 0.12121212121212122}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9777777777777777, 'Core-Periphery': 0.022222222222222223}","{'U-A1': 0.6111111111111112, 'U-C1': 0.3611111111111111, 'U-D1': 0.027777777777777776}","{'U-A1': 0.5454545454545454, 'U-C1': 0.3333333333333333, 'U-D1': 0.12121212121212122}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.9777777777777777, 'U-C1': 0.022222222222222223}"
Biological,tree-of-life394,title,,FALSE,786,3874,39,33,20,58,27,10,34,30,20,44,27,10,11944.17243,13835.73416,15066.32932,16168.05322,15554.60787,15313.36932,0.144726276,0.138378109,0.721077819,0.691405433,0.667648773,0.687887746,"{'Assortative': 0.9786096256684492, 'Core-Periphery': 0.017825311942959002, 'Disassortative': 0.0035650623885918}","{'Assortative': 0.9816091954022989, 'Core-Periphery': 0.016091954022988506, 'Disassortative': 0.0022988505747126436}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.9786096256684492, 'U-C1': 0.017825311942959002, 'U-D1': 0.0035650623885918}","{'U-A1': 0.9816091954022989, 'U-C1': 0.016091954022988506, 'U-D1': 0.0022988505747126436}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
Technological,caida_as20070917,title,,TRUE,8020,36406,60,45,41,468,2,10,44,41,31,245,2,10,135261.2155,157708.6004,176093.0209,249290.764,188126.5661,182729.0251,-0.006944112,-0.007471865,0.540412846,0.495001532,0.033930763,0.396282951,"{'Assortative': 0.7251585623678647, 'Core-Periphery': 0.02959830866807611, 'Disassortative': 0.05919661733615222, 'Source-Basin': 0.18604651162790697}","{'Assortative': 0.7292682926829268, 'Core-Periphery': 0.020731707317073172, 'Disassortative': 0.054878048780487805, 'Source-Basin': 0.1951219512195122}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'D-A1': 0.5655391120507399, 'D-A2': 0.15961945031712474, 'D-C1': 0.02959830866807611, 'D-D1': 0.03382663847780127, 'D-D2': 0.02536997885835095, 'D-D5': 0.18604651162790697}","{'D-A1': 0.5365853658536586, 'D-A2': 0.1926829268292683, 'D-C1': 0.020731707317073172, 'D-D1': 0.03170731707317073, 'D-D2': 0.023170731707317073, 'D-D5': 0.1951219512195122}","{'D-A1': 0.25591397849462366, 'D-A2': 0.7440860215053764}","{'D-A1': 0.42967547674807627, 'D-A2': 0.5703245232519237}",{'D-A2': 1.0},"{'D-A1': 0.7333333333333333, 'D-A2': 0.26666666666666666}"
Technological,gnutella04,title,,TRUE,10876,39994,6,10,21,1112,21,10,6,10,21,917,21,10,288059.0486,313746.0294,326932.8751,404484.1554,327590.3866,327053.9525,0.01258556,0.001309188,0.382411052,0.2554965,0.259587513,0.038007529,"{'Core-Periphery': 0.26666666666666666, 'Source-Basin': 0.7333333333333333}","{'Assortative': 0.24444444444444444, 'Core-Periphery': 0.4222222222222222, 'Source-Basin': 0.3333333333333333}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9047619047619048, 'Core-Periphery': 0.009523809523809525, 'Source-Basin': 0.08571428571428572}","{'Assortative': 0.4666666666666667, 'Core-Periphery': 0.2, 'Source-Basin': 0.3333333333333333}","{'D-C2': 0.13333333333333333, 'D-C3': 0.06666666666666667, 'D-C4': 0.06666666666666667, 'D-D3': 0.3333333333333333, 'D-D5': 0.3333333333333333, 'D-D6': 0.06666666666666667}","{'D-A1': 0.13333333333333333, 'D-A2': 0.1111111111111111, 'D-C1': 0.044444444444444446, 'D-C2': 0.06666666666666667, 'D-C3': 0.17777777777777778, 'D-C4': 0.13333333333333333, 'D-D3': 0.044444444444444446, 'D-D4': 0.08888888888888889, 'D-D5': 0.2}","{'D-A1': 0.5142857142857142, 'D-A2': 0.4857142857142857}","{'D-A1': 0.4938509855090408, 'D-A2': 0.5061490144909592}","{'D-A1': 0.3476190476190476, 'D-A2': 0.5571428571428572, 'D-C1': 0.004761904761904762, 'D-C2': 0.004761904761904762, 'D-D5': 0.009523809523809525, 'D-D6': 0.0761904761904762}","{'D-A1': 0.37777777777777777, 'D-A2': 0.08888888888888889, 'D-C1': 0.022222222222222223, 'D-C2': 0.13333333333333333, 'D-C4': 0.044444444444444446, 'D-D5': 0.022222222222222223, 'D-D6': 0.3111111111111111}"
Technological,jung,title,,TRUE,6120,138706,110,76,18,334,3,10,74,70,18,114,3,10,208280.1944,214244.1381,288171.2944,422273.0017,334382.4356,379427.268,0.024683996,0.031221522,0.482677775,0.398769912,0.392175103,0.022370902,"{'Assortative': 0.9192891521658645, 'Core-Periphery': 0.053313587560162905, 'Disassortative': 0.0022213994816734544, 'Source-Basin': 0.025175860792299148}","{'Assortative': 0.8621118012422361, 'Core-Periphery': 0.07080745341614907, 'Disassortative': 0.002898550724637681, 'Source-Basin': 0.06418219461697723}","{'Assortative': 0.954248366013072, 'Source-Basin': 0.0457516339869281}","{'Assortative': 0.9941002949852508, 'Core-Periphery': 0.0009315323707498836, 'Source-Basin': 0.004968172643999379}","{'Assortative': 0.6666666666666666, 'Source-Basin': 0.3333333333333333}","{'Assortative': 0.28888888888888886, 'Core-Periphery': 0.37777777777777777, 'Source-Basin': 0.3333333333333333}","{'D-A1': 0.5512773047019622, 'D-A2': 0.36801184746390225, 'D-C1': 0.008515364679748241, 'D-C2': 0.029248426508700482, 'D-C3': 0.00259163272861903, 'D-C4': 0.01295816364309515, 'D-D1': 0.0007404664938911515, 'D-D2': 0.001480932987782303, 'D-D3': 0.00518326545723806, 'D-D4': 0.0037023324694557573, 'D-D5': 0.004442798963346909, 'D-D6': 0.011847463902258423}","{'D-A1': 0.5213250517598343, 'D-A2': 0.3407867494824017, 'D-C1': 0.018633540372670808, 'D-C2': 0.037267080745341616, 'D-C3': 0.002070393374741201, 'D-C4': 0.012836438923395446, 'D-D1': 0.0008281573498964803, 'D-D2': 0.002070393374741201, 'D-D3': 0.011180124223602485, 'D-D4': 0.002484472049689441, 'D-D5': 0.030227743271221533, 'D-D6': 0.020289855072463767}","{'D-A1': 0.4444444444444444, 'D-A2': 0.5098039215686274, 'D-D6': 0.0457516339869281}","{'D-A1': 0.6303369042074212, 'D-A2': 0.36376339077782954, 'D-C2': 0.0007762769756249029, 'D-C4': 0.0001552553951249806, 'D-D3': 0.0001552553951249806, 'D-D6': 0.004812917248874398}","{'D-A1': 0.6666666666666666, 'D-D6': 0.3333333333333333}","{'D-A1': 0.17777777777777778, 'D-A2': 0.1111111111111111, 'D-C1': 0.2222222222222222, 'D-C2': 0.1111111111111111, 'D-C4': 0.044444444444444446, 'D-D3': 0.06666666666666667, 'D-D5': 0.06666666666666667, 'D-D6': 0.2}"
Technological,power,title,,FALSE,4941,6594,15,17,40,417,53,10,15,17,40,377,53,10,44424.80099,53318.76732,53815.5665,74087.01016,55367.33518,56945.11554,0.443205186,0.423003999,0.936262024,0.833444854,0.918601186,0.607538917,"{'Assortative': 0.9428571428571428, 'Core-Periphery': 0.047619047619047616, 'Disassortative': 0.009523809523809525}","{'Assortative': 0.8602941176470589, 'Core-Periphery': 0.11764705882352941, 'Disassortative': 0.022058823529411766}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.9428571428571428, 'U-C1': 0.047619047619047616, 'U-D1': 0.009523809523809525}","{'U-A1': 0.8602941176470589, 'U-C1': 0.11764705882352941, 'U-D1': 0.022058823529411766}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
Technological,route_views19971108,title,,FALSE,3015,5156,21,17,25,239,1,10,15,14,25,147,1,10,23927.59084,27806.70379,36162.55994,47535.77703,28089.55387,30425.68679,0.003493317,0.008094315,0.198627342,0.168758475,0,0.459865783,"{'Assortative': 0.8, 'Core-Periphery': 0.2}","{'Assortative': 0.8791208791208791, 'Core-Periphery': 0.10989010989010989, 'Disassortative': 0.01098901098901099}","{'Assortative': 0.9533333333333334, 'Core-Periphery': 0.04, 'Disassortative': 0.006666666666666667}","{'Assortative': 0.9333706085173795, 'Core-Periphery': 0.05740378343118069, 'Disassortative': 0.009225608051439753}",0,{'Assortative': 1.0},"{'U-A1': 0.8, 'U-C1': 0.2}","{'U-A1': 0.8791208791208791, 'U-C1': 0.10989010989010989, 'U-D1': 0.01098901098901099}","{'U-A1': 0.9533333333333334, 'U-C1': 0.04, 'U-D1': 0.006666666666666667}","{'U-A1': 0.9333706085173795, 'U-C1': 0.05740378343118069, 'U-D1': 0.009225608051439753}",0,{'U-A1': 1.0}
Technological,software_dependenciesjdk,title,,TRUE,6434,150985,107,74,16,338,4,10,70,67,16,136,4,10,316974.9254,331817.004,305420.7655,432233.6686,353536.4047,410991.5012,0.038277846,0.038166153,0.501442439,0.331219786,0.418690722,0.077092649,"{'Assortative': 0.7979296066252588, 'Core-Periphery': 0.13250517598343686, 'Disassortative': 0.006625258799171843, 'Source-Basin': 0.0629399585921325}","{'Assortative': 0.6928991406603346, 'Core-Periphery': 0.1863410221619177, 'Disassortative': 0.008593396653098146, 'Source-Basin': 0.11216644052464948}","{'Assortative': 0.9416666666666667, 'Source-Basin': 0.058333333333333334}","{'Assortative': 0.9845315904139433, 'Core-Periphery': 0.006318082788671024, 'Source-Basin': 0.009150326797385621}","{'Assortative': 0.6666666666666666, 'Source-Basin': 0.3333333333333333}","{'Assortative': 0.2, 'Core-Periphery': 0.24444444444444444, 'Source-Basin': 0.5555555555555556}","{'D-A1': 0.4244306418219462, 'D-A2': 0.3734989648033126, 'D-C1': 0.028157349896480333, 'D-C2': 0.0650103519668737, 'D-C3': 0.009109730848861283, 'D-C4': 0.030227743271221533, 'D-D1': 0.0012422360248447205, 'D-D2': 0.005383022774327122, 'D-D3': 0.008281573498964804, 'D-D4': 0.015734989648033125, 'D-D5': 0.026915113871635612, 'D-D6': 0.012008281573498964}","{'D-A1': 0.3175033921302578, 'D-A2': 0.3753957485300769, 'D-C1': 0.03573043871551334, 'D-C2': 0.0814111261872456, 'D-C3': 0.009045680687471733, 'D-C4': 0.060153776571687016, 'D-D1': 0.007236544549977386, 'D-D2': 0.0013568521031207597, 'D-D3': 0.004070556309362279, 'D-D4': 0.0438715513342379, 'D-D5': 0.046585255540479424, 'D-D6': 0.017639077340569877}","{'D-A1': 0.49166666666666664, 'D-A2': 0.45, 'D-D6': 0.058333333333333334}","{'D-A1': 0.5711328976034858, 'D-A2': 0.4133986928104575, 'D-C2': 0.003594771241830065, 'D-C4': 0.0027233115468409588, 'D-D3': 0.0010893246187363835, 'D-D6': 0.008061002178649237}","{'D-A1': 0.6666666666666666, 'D-D6': 0.3333333333333333}","{'D-A1': 0.06666666666666667, 'D-A2': 0.13333333333333333, 'D-C1': 0.022222222222222223, 'D-C2': 0.06666666666666667, 'D-C4': 0.15555555555555556, 'D-D3': 0.044444444444444446, 'D-D5': 0.022222222222222223, 'D-D6': 0.4888888888888889}"
Informational,adjnoun,title,,FALSE,112,425,4,1,7,1,1,10,3,1,7,1,1,8,1212.34818,1451.893085,1595.968769,1451.893085,1451.893085,1740.018188,-0.157306574,0,0.289240138,0,0,0.04323045,"{'Core-Periphery': 0.3333333333333333, 'Disassortative': 0.6666666666666666}",0,{'Assortative': 1.0},0,0,"{'Assortative': 0.75, 'Core-Periphery': 0.21428571428571427, 'Disassortative': 0.03571428571428571}","{'U-C1': 0.3333333333333333, 'U-D1': 0.6666666666666666}",0,{'U-A1': 1.0},0,0,"{'U-A1': 0.75, 'U-C1': 0.21428571428571427, 'U-D1': 0.03571428571428571}"
